Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
45123981,12/10/2019 04:23:00 PM,12/11/2019 08:30:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10022,,,,,5 AVENUE,WEST 55 STREET,INTERSECTION,NEW YORK,,,Closed,,The Department of Environmental Protection investigated this complaint and resolved the street flooding.,12/11/2019 08:30:00 AM,05 MANHATTAN,MANHATTAN,991199,216774,Unspecified,MANHATTAN,,,,,,,,40.761668277085114,-73.97491556118797,"(40.761668277085114, -73.97491556118797)"
45123983,12/10/2019 01:50:00 PM,12/12/2019 12:25:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10025,2530 BROADWAY,BROADWAY,W 94 ST,W 95 ST,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection investigated this complaint and resolved the street flooding.,12/12/2019 12:25:00 PM,07 MANHATTAN,MANHATTAN,991876,228450,Unspecified,MANHATTAN,,,,,,,,40.79371525989317,-73.97245848095932,"(40.79371525989317, -73.97245848095932)"
50493093,05/06/2021 02:47:00 PM,05/06/2021 03:10:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10001,300 8 AVENUE,8 AVENUE,W 25 ST,W 26 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",05/06/2021 03:10:00 PM,04 MANHATTAN,MANHATTAN,984957,211323,Unspecified,MANHATTAN,,,,,,,,40.74670936921186,-73.99744845073135,"(40.74670936921186, -73.99744845073135)"
50493477,05/06/2021 09:35:00 AM,05/06/2021 03:16:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10021,,,,,2 AVENUE,EAST 73 STREET,INTERSECTION,NEW YORK,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",05/06/2021 03:16:00 PM,08 MANHATTAN,MANHATTAN,995921,219623,Unspecified,MANHATTAN,,,,,,,,40.76948307211895,-73.95786518258946,"(40.76948307211895, -73.95786518258946)"
45137348,12/11/2019 02:50:00 PM,12/12/2019 11:45:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10025,,,,,WEST 111 STREET,BROADWAY,INTERSECTION,NEW YORK,,,Closed,,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",12/12/2019 11:45:00 AM,09 MANHATTAN,MANHATTAN,993603,232499,Unspecified,MANHATTAN,,,,,,,,40.80482700063083,-73.96621573139899,"(40.80482700063083, -73.96621573139899)"
45137349,12/11/2019 02:47:00 PM,12/12/2019 09:45:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10009,,,,,EAST 14 STREET,1 AVENUE,INTERSECTION,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",12/12/2019 09:45:00 AM,03 MANHATTAN,MANHATTAN,989085,205728,Unspecified,MANHATTAN,,,,,,,,40.731351188882584,-73.98255460051172,"(40.731351188882584, -73.98255460051172)"
50620516,05/20/2021 08:13:00 PM,05/21/2021 11:05:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10011,112A GREENWICH AVENUE,GREENWICH AVENUE,JANE ST,HORATIO ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",05/21/2021 11:05:00 AM,02 MANHATTAN,MANHATTAN,983633,208325,Unspecified,MANHATTAN,,,,,,,,40.73848061374064,-74.00222646601098,"(40.73848061374064, -74.00222646601098)"
50441154,05/01/2021 07:52:00 PM,05/01/2021 11:00:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10011,178 7 AVENUE,7 AVENUE,W 20 ST,W 21 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",05/01/2021 11:00:00 PM,04 MANHATTAN,MANHATTAN,985142,209808,Unspecified,MANHATTAN,,,,,,,,40.74255105656924,-73.9967809902477,"(40.74255105656924, -73.9967809902477)"
18265323,07/14/2010 10:56:00 AM,07/14/2010 12:15:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10011,,,9 AVE,W 23 ST,9 AVENUE,WEST 23 STREET,INTERSECTION,NEW YORK,,N/A,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",07/14/2010 12:15:00 PM,04 MANHATTAN,MANHATTAN,983883,211244,Unspecified,MANHATTAN,,,,,,,,40.74649255468646,-74.00132449156148,"(40.74649255468646, -74.00132449156148)"
18265327,07/14/2010 11:03:00 AM,07/14/2010 11:25:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10011,,,W 23 ST,8 AVE,WEST 23 STREET,8 AVENUE,INTERSECTION,NEW YORK,,N/A,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",07/14/2010 11:25:00 AM,04 MANHATTAN,MANHATTAN,984669,210807,Unspecified,MANHATTAN,,,,,,,,40.74529309693587,-73.998487869284,"(40.74529309693587, -73.998487869284)"
